s_city_id,s_city,s_lat,s_lon,s_pop,s_country,s_Volume,e_city_id,e_City,e_lat,e_lon,e_pop,e_country,e_vol
,Grand Rapids,42.867704,-85.565109,,United States of America,,,,42.06954,-72.61481,,United States of America,
,,42.867704,-85.565109,,,,,,42.454545,-71.148779,,United States of America,
,,42.867704,-85.565109,,,,,,42.630011,-70.694179,,United States of America,
,,42.867704,-85.565109,,,,,,42.68571,-70.864132,,United States of America,
,,42.867704,-85.565109,,,,,,42.536996,-70.973646,,United States of America,
,,42.867704,-85.565109,,,,,,42.368673,-71.083596,,United States of America,
,,42.867704,-85.565109,,,,,,42.180048,-71.08923,,United States of America,
,,42.867704,-85.565109,,,,,,42.251499,-70.94484,,United States of America,
,,42.867704,-85.565109,,,,,,42.338947,-70.919635,,United States of America,
,,42.867704,-85.565109,,,,,,41.613489,-72.7207,,United States of America,
,,42.867704,-85.565109,,,,,,41.279896,-73.031018,,United States of America,
,,42.867704,-85.565109,,,,,,41.314347,-73.137143,,United States of America,
,,42.867704,-85.565109,,,,,,41.328697,-72.964247,,United States of America,
,,42.867704,-85.565109,,,,,,40.852118,-74.407706,,United States of America,
,,42.867704,-85.565109,,,,,,40.942238,-74.937487,,United States of America,
,,42.867704,-85.565109,,,,,,18.419069,-66.062319,,United States of America,
,,42.867704,-85.565109,,,,,,42.108585,-72.20448,,United States of America,
,,42.867704,-85.565109,,,,,,42.59353,-72.23033,,United States of America,
,,42.867704,-85.565109,,,,,,42.500187,-71.575864,,United States of America,
,,42.867704,-85.565109,,,,,,42.247955,-71.76678,,United States of America,
,,42.867704,-85.565109,,,,,,42.49065,-71.27617,,United States of America,
,,42.867704,-85.565109,,,,,,42.436043,-71.605916,,United States of America,
,,42.867704,-85.565109,,,,,,42.22358,-71.52282,,United States of America,
,,42.867704,-85.565109,,,,,,42.488595,-71.157271,,United States of America,
,,42.867704,-85.565109,,,,,,42.504844,-71.201539,,United States of America,
,,42.867704,-85.565109,,,,,,42.689974,-71.160383,,United States of America,
,,42.867704,-85.565109,,,,,,42.73184,-71.186915,,United States of America,
,,42.867704,-85.565109,,,,,,42.627812,-71.33533,,United States of America,
,,42.867704,-85.565109,,,,,,42.57926,-71.43784,,United States of America,
,,42.867704,-85.565109,,,,,,42.80965,-70.873196,,United States of America,
,,42.867704,-85.565109,,,,,,42.661793,-70.954487,,United States of America,
,,42.867704,-85.565109,,,,,,42.360027,-71.054495,,United States of America,
,,42.867704,-85.565109,,,,,,42.361962,-71.047847,,United States of America,
,,42.867704,-85.565109,,,,,,42.365146,-71.101842,,United States of America,
,,42.867704,-85.565109,,,,,,42.347547,-71.040645,,United States of America,
,,42.867704,-85.565109,,,,,,42.347593,-71.102934,,United States of America,
,,42.867704,-85.565109,,,,,,42.065702,-70.800778,,United States of America,
,,42.867704,-85.565109,,,,,,42.442567,-71.226453,,United States of America,
,,42.867704,-85.565109,,,,,,42.398588,-71.24505,,United States of America,
,,42.867704,-85.565109,,,,,,42.365396,-71.23165,,United States of America,
,,42.867704,-85.565109,,,,,,41.871407,-71.013148,,United States of America,
,,42.867704,-85.565109,,,,,,41.909112,-71.118346,,United States of America,
,,42.867704,-85.565109,,,,,,41.519757,-71.273101,,United States of America,
,,42.867704,-85.565109,,,,,,41.700591,-71.376927,,United States of America,
